"StatusAcount1","Duration2","Credithistory3","Purpose4","Creditamount5","Savings6","employment7","Installment8","sex9","debtors10","residence11","Property12","Age13","installment14","Housing15","existingcredits16","Job17","peoplemaintenance18","Telephone19","foreign20","classlabel21"
A14,11,A34,newCar,1393,A61,A72,4,female,none,4,car,35,none,own,2,management,1,none,yes,1
A14,36,A32,television,2299,A63,A75,4,male,none,4,car,39,none,own,1,skilled,1,none,yes,1
A11,6,A32,oldCar,1352,A63,A71,1,female,none,2,lifeInsurance,23,none,rent,1,unemployed,1,yes,yes,1
A14,11,A34,newCar,7228,A61,A73,1,male,none,4,lifeInsurance,39,none,own,2,unskilled,1,none,yes,1
A14,12,A32,television,2073,A62,A73,4,female,coApplicant,2,realState,28,none,own,1,skilled,1,none,yes,1
A12,24,A33,furniture,2333,A65,A72,4,male,none,2,lifeInsurance,29,bank,own,1,unskilled,1,none,yes,1
A12,27,A33,oldCar,5965,A61,A75,1,male,none,2,car,30,none,own,2,management,1,yes,yes,1
A14,12,A32,television,1262,A61,A73,3,male,none,2,car,25,none,own,1,skilled,1,none,yes,1
A14,18,A32,oldCar,3378,A65,A73,2,male,none,1,lifeInsurance,31,none,own,1,skilled,1,yes,yes,1
A12,36,A33,newCar,2225,A61,A75,4,male,none,4,unknown,57,bank,free,2,skilled,1,yes,yes,2
A14,6,A31,newCar,783,A65,A73,1,male,guarantor,2,realState,26,stores,own,1,unskilled,2,none,yes,1
A12,12,A32,television,6468,A65,A71,2,male,none,1,unknown,52,none,own,1,management,1,yes,yes,2
A14,36,A34,television,9566,A61,A73,2,female,none,2,car,31,stores,own,2,skilled,1,none,yes,1
A13,18,A32,newCar,1961,A61,A75,3,female,none,2,car,23,none,own,1,management,1,none,yes,1
A11,36,A34,furniture,6229,A61,A72,4,female,coApplicant,4,unknown,23,none,rent,2,unskilled,1,yes,yes,2
A12,9,A32,A49,1391,A61,A73,2,male,none,1,realState,27,bank,own,1,skilled,1,yes,yes,1
A12,15,A34,television,1537,A65,A75,4,male,guarantor,4,realState,50,none,own,2,skilled,1,yes,yes,1
A12,36,A30,A49,1953,A61,A75,4,male,none,4,unknown,61,none,free,1,management,1,yes,yes,2
A12,48,A30,A49,14421,A61,A73,2,male,none,2,car,25,none,own,1,skilled,1,yes,yes,2
A14,24,A32,television,3181,A61,A72,4,female,none,4,lifeInsurance,26,none,own,1,skilled,1,yes,yes,1
A14,27,A32,repairs,5190,A65,A75,4,male,none,4,lifeInsurance,48,none,own,4,skilled,2,yes,yes,1
A14,12,A32,television,2171,A61,A72,2,female,none,2,car,29,bank,own,1,skilled,1,none,yes,1
A12,12,A32,newCar,1007,A64,A73,4,male,none,1,realState,22,none,own,1,skilled,1,none,yes,1
A14,36,A32,education,1819,A61,A73,4,male,none,4,unknown,37,stores,free,1,skilled,1,yes,yes,2
A14,36,A32,television,2394,A65,A73,4,female,none,4,car,25,none,own,1,skilled,1,none,yes,1
A14,36,A32,oldCar,8133,A61,A73,1,female,none,2,lifeInsurance,30,bank,own,1,skilled,1,none,yes,1
A14,7,A34,television,730,A65,A75,4,male,none,2,lifeInsurance,46,none,rent,2,unskilled,1,yes,yes,1
A11,8,A34,other,1164,A61,A75,3,male,none,4,unknown,51,bank,free,2,management,2,yes,yes,1
A12,42,A34,A49,5954,A61,A74,2,female,none,1,realState,41,bank,own,2,unskilled,1,none,yes,1
A11,36,A32,education,1977,A65,A75,4,male,none,4,unknown,40,none,own,1,management,1,yes,yes,2
A11,12,A34,oldCar,1526,A61,A75,4,male,none,4,unknown,66,none,free,2,management,1,none,yes,1
A11,42,A32,television,3965,A61,A72,4,male,none,3,car,34,none,own,1,skilled,1,none,yes,2
A12,11,A33,television,4771,A61,A74,2,male,none,4,lifeInsurance,51,none,own,1,skilled,1,none,yes,1
A14,54,A30,oldCar,9436,A65,A73,2,male,none,2,lifeInsurance,39,none,own,1,unskilled,2,none,yes,1
A12,30,A32,furniture,3832,A61,A72,2,male,none,1,lifeInsurance,22,none,own,1,skilled,1,none,yes,1
A14,24,A32,television,5943,A65,A72,1,female,none,1,car,44,none,own,2,skilled,1,yes,yes,2
A14,15,A32,television,1213,A63,A75,4,male,none,3,lifeInsurance,47,stores,own,1,skilled,1,yes,yes,1
A14,18,A32,A49,1568,A62,A73,3,female,none,4,lifeInsurance,24,none,rent,1,unskilled,1,none,yes,1
A11,24,A32,other,1755,A61,A75,4,female,guarantor,4,realState,58,none,own,1,unskilled,1,yes,yes,1
A11,10,A32,television,2315,A61,A75,3,male,none,4,realState,52,none,own,1,unskilled,1,none,yes,1
A14,12,A34,A49,1412,A61,A73,4,female,guarantor,2,realState,29,none,own,2,management,1,yes,yes,1
A12,18,A34,furniture,1295,A61,A72,4,female,none,1,lifeInsurance,27,none,own,2,skilled,1,none,yes,1
A12,36,A32,education,12612,A62,A73,1,male,none,4,unknown,47,none,free,1,skilled,2,yes,yes,2
A11,18,A32,newCar,2249,A62,A74,4,male,none,3,car,30,none,own,1,management,2,yes,yes,1
A11,12,A30,repairs,1108,A61,A74,4,male,none,3,realState,28,none,own,2,skilled,1,none,yes,2
A14,12,A34,television,618,A61,A75,4,male,none,4,realState,56,none,own,1,skilled,1,none,yes,1
A11,12,A34,oldCar,1409,A61,A75,4,male,none,3,realState,54,none,own,1,skilled,1,none,yes,1
A14,12,A34,television,797,A65,A75,4,female,none,3,lifeInsurance,33,bank,own,1,unskilled,2,none,yes,2
A13,24,A34,furniture,3617,A65,A75,4,male,coApplicant,4,unknown,20,none,rent,2,skilled,1,none,yes,1
A12,12,A32,newCar,1318,A64,A75,4,male,none,4,realState,54,none,own,1,skilled,1,yes,yes,1
A12,54,A30,A49,15945,A61,A72,3,male,none,4,unknown,58,none,rent,1,skilled,1,yes,yes,2
A14,12,A34,education,2012,A65,A74,4,female,none,2,car,61,none,own,1,skilled,1,none,yes,1
A12,18,A32,A49,2622,A62,A73,4,male,none,4,car,34,none,own,1,skilled,1,none,yes,1
A12,36,A34,television,2337,A61,A75,4,male,none,4,realState,36,none,own,1,skilled,1,none,yes,1
A12,20,A33,oldCar,7057,A65,A74,3,male,none,4,lifeInsurance,36,bank,rent,2,management,2,yes,yes,1
A14,24,A32,newCar,1469,A62,A75,4,male,none,4,realState,41,none,rent,1,unskilled,1,none,yes,1
A12,36,A32,television,2323,A61,A74,4,male,none,4,car,24,none,rent,1,skilled,1,none,yes,1
A14,6,A33,television,932,A61,A73,3,female,none,2,realState,24,none,own,1,skilled,1,none,yes,1
A12,9,A34,furniture,1919,A61,A74,4,male,none,3,car,35,none,rent,1,skilled,1,yes,yes,1
A14,12,A32,oldCar,2445,A65,A72,2,male,none,4,car,26,none,rent,1,skilled,1,yes,yes,1
A12,24,A34,other,11938,A61,A73,2,male,coApplicant,3,car,39,none,own,2,management,2,yes,yes,2
A14,18,A31,newCar,6458,A61,A75,2,male,none,4,unknown,39,bank,own,2,management,2,yes,yes,2
A12,12,A32,newCar,6078,A61,A74,2,male,none,2,car,32,none,own,1,skilled,1,none,yes,1
A11,24,A32,furniture,7721,A65,A72,1,female,none,2,lifeInsurance,30,none,own,1,skilled,1,yes,no,1
A12,14,A32,A49,1410,A63,A75,1,male,none,2,realState,35,none,own,1,skilled,1,yes,yes,1
A12,6,A33,A49,1449,A62,A75,1,male,none,2,car,31,bank,own,2,skilled,2,none,yes,1
A13,15,A32,education,392,A61,A72,4,female,none,4,lifeInsurance,23,none,rent,1,skilled,1,yes,yes,1
A12,18,A32,newCar,6260,A61,A74,3,male,none,3,realState,28,none,rent,1,unskilled,1,none,yes,1
A14,36,A34,newCar,7855,A61,A73,4,female,none,2,realState,25,stores,own,2,skilled,1,yes,yes,2
A11,12,A32,television,1680,A63,A75,3,male,none,1,realState,35,none,own,1,skilled,1,none,yes,1
A14,48,A34,television,3578,A65,A75,4,male,none,1,realState,47,none,own,1,skilled,1,yes,yes,1
A11,42,A32,television,7174,A65,A74,4,female,none,3,car,30,none,own,1,management,1,yes,yes,2
A11,10,A34,furniture,2132,A65,A72,2,female,coApplicant,3,realState,27,none,rent,2,skilled,1,none,no,1
A11,33,A34,furniture,4281,A63,A73,1,female,none,4,car,23,none,own,2,skilled,1,none,yes,2
A12,12,A34,newCar,2366,A63,A74,3,male,none,3,car,36,none,own,1,management,1,yes,yes,1
A11,21,A32,television,1835,A61,A73,3,female,none,2,realState,25,none,own,2,skilled,1,yes,yes,2
A14,24,A34,oldCar,3868,A61,A75,4,female,none,2,car,41,none,rent,2,management,1,yes,yes,1
A14,12,A32,furniture,1768,A61,A73,3,male,none,2,realState,24,none,rent,1,unskilled,1,none,yes,1
A13,10,A34,newCar,781,A61,A75,4,male,none,4,unknown,63,none,free,2,skilled,1,yes,yes,1
A12,18,A32,furniture,1924,A65,A72,4,female,none,3,realState,27,none,rent,1,skilled,1,none,yes,2
A11,12,A34,newCar,2121,A61,A73,4,male,none,2,lifeInsurance,30,none,own,2,skilled,1,none,yes,1
A11,12,A32,television,701,A61,A73,4,male,none,2,realState,40,none,own,1,unskilled,1,none,yes,1
A12,12,A32,repairs,639,A61,A73,4,male,none,2,car,30,none,own,1,skilled,1,none,yes,2
A12,12,A34,oldCar,1860,A61,A71,4,male,none,2,car,34,none,own,2,management,1,yes,yes,1
A11,12,A34,newCar,3499,A61,A73,3,female,coApplicant,2,realState,29,none,own,2,skilled,1,none,yes,2
A12,48,A32,newCar,8487,A65,A74,1,female,none,2,car,24,none,own,1,skilled,1,none,yes,1
A11,36,A33,education,6887,A61,A73,4,male,none,3,lifeInsurance,29,stores,own,1,skilled,1,yes,yes,2
A14,15,A32,furniture,2708,A61,A72,2,male,none,3,lifeInsurance,27,bank,own,2,unskilled,1,none,yes,1
A14,18,A32,furniture,1984,A61,A73,4,male,none,4,unknown,47,bank,free,2,skilled,1,none,yes,1
A14,60,A32,television,10144,A62,A74,2,female,none,4,realState,21,none,own,1,skilled,1,yes,yes,1
A14,12,A34,television,1240,A65,A75,4,female,none,2,realState,38,none,own,2,skilled,1,yes,yes,1
A14,27,A33,oldCar,8613,A64,A73,2,male,none,2,car,27,none,own,2,skilled,1,none,yes,1
A12,12,A32,television,766,A63,A73,4,male,none,3,realState,66,none,own,1,unskilled,1,none,yes,2
A12,15,A34,television,2728,A65,A74,4,male,guarantor,2,realState,35,bank,own,3,skilled,1,yes,yes,1
A13,12,A32,television,1881,A61,A73,2,female,none,2,car,44,none,rent,1,unskilled,1,yes,yes,1
A13,6,A32,newCar,709,A64,A72,2,male,none,2,realState,27,none,own,1,unemployed,1,none,no,1
A12,36,A32,television,4795,A61,A72,4,female,none,1,unknown,30,none,own,1,management,1,yes,yes,1
A11,27,A32,television,3416,A61,A73,3,male,none,2,car,27,none,own,1,management,1,none,yes,1
A11,18,A32,furniture,2462,A61,A73,2,male,none,2,car,22,none,own,1,skilled,1,none,yes,2
A14,21,A34,furniture,2288,A61,A72,4,female,none,4,lifeInsurance,23,none,own,1,skilled,1,yes,yes,1
A12,48,A31,A49,3566,A62,A74,4,male,none,2,car,30,none,own,1,skilled,1,none,yes,1
A11,6,A34,newCar,860,A61,A75,1,female,none,4,unknown,39,none,own,2,skilled,1,yes,yes,1
A14,12,A34,newCar,682,A62,A74,4,female,none,3,car,51,none,own,2,skilled,1,yes,yes,1
A11,36,A34,furniture,5371,A61,A73,3,male,guarantor,2,lifeInsurance,28,none,own,2,skilled,1,none,yes,1
A14,18,A34,television,1582,A64,A75,4,male,none,4,car,46,none,own,2,skilled,1,none,yes,1
A14,6,A32,television,1346,A62,A75,2,male,none,4,unknown,42,bank,free,1,skilled,2,yes,yes,1
A14,10,A32,television,1924,A61,A73,1,male,none,4,lifeInsurance,38,none,own,1,skilled,1,yes,no,1
A13,36,A32,television,5848,A61,A73,4,male,none,1,car,24,none,own,1,skilled,1,none,yes,1
A12,24,A34,oldCar,7758,A64,A75,2,female,none,4,unknown,29,none,rent,1,skilled,1,none,yes,1
A12,24,A33,A49,6967,A62,A74,4,male,none,4,car,36,none,rent,1,management,1,yes,yes,1
A11,12,A32,furniture,1282,A61,A73,2,female,none,4,car,20,none,rent,1,skilled,1,none,yes,2
A11,9,A34,repairs,1288,A62,A75,3,male,guarantor,4,realState,48,none,own,2,skilled,2,none,no,1
A11,12,A31,retraining,339,A61,A75,4,male,none,1,car,45,bank,own,1,unskilled,1,none,yes,1
A12,24,A32,newCar,3512,A62,A74,2,male,none,3,car,38,bank,own,2,skilled,1,yes,yes,1
A14,6,A34,television,1898,A65,A73,1,male,none,2,realState,34,none,own,2,unskilled,2,none,yes,1
A14,24,A34,television,2872,A62,A75,3,male,none,4,realState,36,none,own,1,skilled,2,yes,yes,1
A14,18,A34,newCar,1055,A61,A72,4,female,none,1,lifeInsurance,30,none,own,2,skilled,1,none,yes,1
A14,15,A32,domestic,1262,A63,A74,4,male,none,3,lifeInsurance,36,none,own,2,skilled,1,yes,yes,1
A12,10,A32,newCar,7308,A61,A71,2,male,none,4,unknown,70,bank,free,1,management,1,yes,yes,1
A14,36,A32,newCar,909,A63,A75,4,male,none,4,lifeInsurance,36,none,own,1,skilled,1,none,yes,1
A14,6,A32,furniture,2978,A63,A73,1,male,none,2,car,32,none,own,1,skilled,1,yes,yes,1
A11,18,A32,furniture,1131,A61,A71,4,female,none,2,car,33,none,own,1,skilled,1,none,yes,2
A12,11,A32,furniture,1577,A64,A72,4,female,none,1,realState,20,none,own,1,skilled,1,none,yes,1
A14,24,A32,furniture,3972,A61,A74,2,female,none,4,lifeInsurance,25,none,rent,1,skilled,1,yes,yes,1
A12,24,A34,A49,1935,A61,A75,4,male,none,4,realState,31,none,own,2,skilled,1,yes,yes,2
A11,15,A30,newCar,950,A61,A75,4,male,none,3,car,33,none,rent,2,skilled,2,none,yes,2
A14,12,A32,furniture,763,A61,A73,4,female,none,1,realState,26,none,own,1,skilled,1,yes,yes,1
A12,24,A33,furniture,2064,A61,A71,3,female,none,2,lifeInsurance,34,none,own,1,management,1,yes,yes,2
A12,8,A32,television,1414,A61,A73,4,male,guarantor,2,realState,33,none,own,1,skilled,1,none,no,1
A11,21,A33,education,3414,A61,A72,2,male,none,1,lifeInsurance,26,none,own,2,skilled,1,none,yes,2
A14,30,A31,oldCar,7485,A65,A71,4,female,none,1,realState,53,bank,own,1,management,1,yes,yes,2
A11,12,A32,furniture,2577,A61,A73,2,male,none,1,car,42,none,own,1,skilled,1,none,yes,1
A11,6,A34,television,338,A63,A75,4,male,none,4,car,52,none,own,2,skilled,1,none,yes,1
A14,12,A32,television,1963,A61,A74,4,male,none,2,car,31,none,rent,2,management,2,yes,yes,1
A11,21,A34,newCar,571,A61,A75,4,male,none,4,realState,65,none,own,2,skilled,1,none,yes,1
A14,36,A33,A49,9572,A61,A72,1,male,none,1,car,28,none,own,2,skilled,1,none,yes,2
A12,36,A33,A49,4455,A61,A73,2,male,none,2,realState,30,stores,own,2,management,1,yes,yes,2
A11,21,A31,newCar,1647,A65,A73,4,male,none,2,lifeInsurance,40,none,own,2,unskilled,2,none,yes,2
A14,24,A34,furniture,3777,A64,A73,4,male,none,4,realState,50,none,own,1,skilled,1,yes,yes,1
A12,18,A34,newCar,884,A61,A75,4,male,none,4,car,36,bank,own,1,skilled,2,yes,yes,2
A14,15,A34,television,1360,A61,A73,4,male,none,2,lifeInsurance,31,none,own,2,skilled,1,none,yes,1
A12,9,A31,oldCar,5129,A61,A75,2,female,none,4,unknown,74,bank,free,1,management,2,yes,yes,2
A12,16,A34,newCar,1175,A61,A71,2,male,none,3,car,68,none,free,3,unemployed,1,yes,yes,1
A11,12,A32,television,674,A62,A74,4,male,none,1,lifeInsurance,20,none,own,1,skilled,1,none,yes,2
A12,18,A30,furniture,3244,A61,A73,1,female,none,4,car,33,bank,own,2,skilled,1,yes,yes,1
A14,24,A32,A49,4591,A64,A73,2,male,none,3,lifeInsurance,54,none,own,3,management,1,yes,yes,2
A12,48,A30,A49,3844,A62,A74,4,male,none,4,unknown,34,none,free,1,unskilled,2,none,yes,2
A12,27,A32,A49,3915,A61,A73,4,male,none,2,car,36,none,own,1,skilled,2,yes,yes,2
A14,6,A32,television,2108,A61,A74,2,male,none,2,realState,29,none,rent,1,skilled,1,none,yes,1
A12,45,A32,television,3031,A62,A73,4,male,guarantor,4,lifeInsurance,21,none,rent,1,skilled,1,none,yes,2
A12,9,A34,education,1501,A61,A75,2,female,none,3,car,34,none,own,2,management,1,yes,yes,2
A14,6,A34,television,1382,A61,A73,1,female,none,1,car,28,none,own,2,skilled,1,yes,yes,1
A12,12,A32,furniture,951,A62,A72,4,female,none,4,car,27,bank,rent,4,skilled,1,none,yes,2
A12,24,A32,oldCar,2760,A65,A75,4,male,none,4,unknown,36,bank,free,1,skilled,1,yes,yes,1
A12,18,A33,furniture,4297,A61,A75,4,male,none,3,unknown,40,none,own,1,management,1,yes,yes,2
A14,9,A34,education,936,A63,A75,4,male,none,2,car,52,none,own,2,skilled,1,yes,yes,1
A11,12,A32,newCar,1168,A61,A73,4,male,none,3,realState,27,none,own,1,unskilled,1,none,yes,1
A14,27,A33,A49,5117,A61,A74,3,male,none,4,car,26,none,own,2,skilled,1,none,yes,1
A11,12,A32,retraining,902,A61,A74,4,male,none,4,lifeInsurance,21,none,rent,1,skilled,1,none,yes,2
A14,12,A34,newCar,1495,A61,A75,4,male,none,1,realState,38,none,own,2,unskilled,2,none,yes,1
A11,30,A34,oldCar,10623,A61,A75,3,male,none,4,unknown,38,none,free,3,management,2,yes,yes,1
A14,12,A34,furniture,1935,A61,A75,4,male,none,4,realState,43,none,own,3,skilled,1,yes,yes,1
A12,12,A34,domestic,1424,A61,A74,4,male,none,3,lifeInsurance,26,none,own,1,skilled,1,none,yes,1
A11,24,A32,A49,6568,A61,A73,2,male,none,2,car,21,stores,own,1,unskilled,1,none,yes,1
A14,12,A32,oldCar,1413,A64,A74,3,male,none,2,lifeInsurance,55,none,own,1,skilled,1,none,no,1
A14,9,A34,television,3074,A65,A73,1,male,none,2,realState,33,none,own,2,skilled,2,none,yes,1
A14,36,A32,television,3835,A65,A75,2,female,none,4,realState,45,none,own,1,unskilled,1,yes,yes,1
A11,27,A30,A49,5293,A61,A71,2,male,none,4,lifeInsurance,50,stores,own,2,skilled,1,yes,yes,2
A13,30,A33,A49,1908,A61,A75,4,male,none,4,realState,66,none,own,1,management,1,yes,yes,2
A14,36,A34,television,3342,A65,A75,4,male,none,2,car,51,none,own,1,skilled,1,yes,yes,1
A12,6,A34,retraining,932,A65,A74,1,female,none,3,lifeInsurance,39,none,own,2,unskilled,1,none,yes,1
A11,18,A30,A49,3104,A61,A74,3,male,none,1,lifeInsurance,31,bank,own,1,skilled,1,yes,yes,1
A13,36,A32,television,3913,A61,A73,2,male,none,2,realState,23,none,own,1,skilled,1,yes,yes,1
A11,24,A32,furniture,3021,A61,A73,2,male,none,2,realState,24,none,rent,1,unskilled,1,none,yes,1
A14,10,A32,newCar,1364,A61,A73,2,female,none,4,car,64,none,own,1,skilled,1,yes,yes,1
A12,12,A32,television,625,A61,A72,4,male,guarantor,1,realState,26,bank,own,1,unskilled,1,none,yes,1
A11,12,A32,education,1200,A65,A73,4,female,none,4,lifeInsurance,23,bank,rent,1,skilled,1,yes,yes,1
A14,12,A32,television,707,A61,A73,4,male,none,2,realState,30,bank,own,2,skilled,1,none,yes,1
A14,24,A33,A49,2978,A65,A73,4,male,none,4,realState,32,none,own,2,skilled,2,yes,yes,1
A14,15,A32,oldCar,4657,A61,A73,3,male,none,2,car,30,none,own,1,skilled,1,yes,yes,1
A14,36,A30,repairs,2613,A61,A73,4,male,none,2,car,27,none,own,2,skilled,1,none,yes,1
A12,48,A32,television,10961,A64,A74,1,male,coApplicant,2,unknown,27,bank,own,2,skilled,1,yes,yes,2
A11,12,A32,furniture,7865,A61,A75,4,male,none,4,unknown,53,none,free,1,management,1,yes,yes,2
A14,9,A32,television,1478,A61,A74,4,male,none,2,car,22,none,own,1,skilled,1,none,yes,2
A11,24,A32,furniture,3149,A61,A72,4,male,none,1,unknown,22,bank,free,1,skilled,1,none,yes,1
A13,36,A32,television,4210,A61,A73,4,male,none,2,car,26,none,own,1,skilled,1,none,yes,2
A14,9,A32,newCar,2507,A63,A75,2,male,none,4,unknown,51,none,free,1,unskilled,1,none,yes,1
A14,12,A32,television,2141,A62,A74,3,male,none,1,unknown,35,none,own,1,skilled,1,none,yes,1
A12,18,A32,television,866,A61,A73,4,male,guarantor,2,realState,25,none,own,1,unskilled,1,none,yes,1
A14,4,A34,television,1544,A61,A74,2,male,none,1,realState,42,none,own,3,unskilled,2,none,yes,1
A11,24,A32,television,1823,A61,A71,4,male,none,2,car,30,stores,own,1,management,2,none,yes,2
A12,6,A32,newCar,14555,A65,A71,1,male,none,2,lifeInsurance,23,none,own,1,unemployed,1,yes,yes,2
A12,21,A32,A49,2767,A62,A75,4,male,none,2,car,61,bank,rent,2,unskilled,1,none,yes,2
A14,12,A34,television,1291,A61,A73,4,female,none,2,lifeInsurance,35,none,own,2,skilled,1,none,yes,1
A11,30,A32,television,2522,A61,A75,1,male,guarantor,3,lifeInsurance,39,none,own,1,skilled,2,none,yes,1
A11,24,A32,newCar,915,A65,A75,4,female,none,2,car,29,bank,own,1,skilled,1,none,yes,2
A14,6,A32,television,1595,A61,A74,3,male,none,2,lifeInsurance,51,none,own,1,skilled,2,none,yes,1
A11,48,A30,oldCar,4605,A61,A75,3,male,none,4,unknown,24,none,free,2,skilled,2,none,yes,2
A14,12,A34,A49,1185,A61,A73,3,female,none,2,realState,27,none,own,2,skilled,1,none,yes,1
A14,12,A31,retraining,3447,A63,A73,4,female,none,3,realState,35,none,own,1,unskilled,2,none,yes,1
A14,24,A32,A49,1258,A61,A74,4,male,none,1,realState,25,none,own,1,skilled,1,yes,yes,1
A14,12,A34,television,717,A61,A75,4,male,none,4,realState,52,none,own,3,skilled,1,none,yes,1
A14,6,A30,newCar,1204,A62,A73,4,male,none,1,unknown,35,bank,rent,1,skilled,1,none,no,1
A13,24,A32,furniture,1925,A61,A73,2,male,none,2,realState,26,none,own,1,skilled,1,none,yes,1
A14,18,A32,television,433,A61,A71,3,female,coApplicant,4,realState,22,none,rent,1,skilled,1,none,yes,2
A11,6,A34,newCar,666,A64,A74,3,female,none,4,realState,39,none,own,2,unskilled,1,yes,yes,1
A13,12,A32,furniture,2251,A61,A73,1,female,none,2,car,46,none,own,1,unskilled,1,none,yes,1
A12,30,A32,newCar,2150,A61,A73,4,female,guarantor,2,unknown,24,bank,own,1,skilled,1,none,yes,2
A14,24,A33,furniture,4151,A62,A73,2,male,none,3,lifeInsurance,35,none,own,2,skilled,1,none,yes,1
A12,9,A32,furniture,2030,A65,A74,2,male,none,1,car,24,none,own,1,skilled,1,yes,yes,1
