sex;age_cat;race;juv_fel_count;juv_misd_count;juv_other_count;priors_count;c_charge_degree;score_text;v_score_text;event
Male;notAdult;notWhite;0;0;0;low;F3;NotConsidered;Medium;1
Male;notAdult;notWhite;0;0;0;low;F3;Low;Medium;1
Male;adult;White;0;0;0;low;F1;Low;Low;0
Male;adult;White;0;0;0;low;M2;Low;Low;0
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Female;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;adult;notWhite;0;0;0;high;M2;Medium;Low;0
Male;adult;notWhite;0;0;0;high;F3;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;Low;Low;1
Female;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;1;high;F3;Medium;Medium;0
Male;adult;notWhite;0;0;1;high;F3;Medium;Medium;1
Male;adult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;adult;notWhite;0;0;0;zero;F3;High;Medium;1
Male;adult;White;0;0;0;high;F3;High;High;1
Male;adult;notWhite;0;0;0;low;F3;High;Low;1
Male;notAdult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;2;high;F3;Low;Low;0
Male;adult;notWhite;0;0;2;high;F3;Low;Low;0
Male;adult;notWhite;0;0;2;high;F3;Low;Low;0
Male;notAdult;White;0;0;0;high;F3;Medium;Low;0
Male;notAdult;White;0;0;0;high;F3;Medium;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;Low;Low;1
Male;adult;White;0;0;2;high;M2;High;High;0
Male;adult;White;0;0;2;high;M2;High;High;0
Male;adult;White;0;0;2;high;M2;High;High;0
Female;adult;White;0;0;0;low;M1;Medium;Low;1
Male;notAdult;White;0;0;0;low;M1;Low;Low;1
Male;adult;notWhite;2;1;3;high;F2;High;Medium;1
Male;adult;White;0;0;0;zero;M1;Low;Low;0
Female;notAdult;notWhite;0;0;0;low;F2;High;High;0
Female;notAdult;notWhite;0;0;0;low;F2;High;High;0
Female;notAdult;notWhite;0;0;0;low;F2;High;High;0
Female;notAdult;notWhite;0;0;0;low;F2;High;High;0
Male;notAdult;notWhite;0;0;0;low;M1;Low;Low;0
Male;adult;White;0;0;0;low;M1;Low;Low;1
Male;adult;notWhite;0;0;0;zero;F2;Medium;Medium;0
Male;adult;notWhite;0;0;0;zero;F2;Medium;Medium;0
Female;notAdult;notWhite;0;0;0;high;F3;Low;Low;0
Female;notAdult;notWhite;0;0;0;high;F3;Low;Low;0
Male;adult;White;0;0;0;high;F3;Medium;Low;0
Male;adult;notWhite;0;0;0;high;M1;High;High;0
Male;adult;notWhite;0;0;0;high;M1;High;High;0
Male;adult;notWhite;0;0;0;zero;F3;Medium;Low;1
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;White;0;0;0;high;M1;High;High;1
Male;adult;notWhite;1;0;4;high;F3;High;Low;1
Male;notAdult;White;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;low;M2;Low;Low;1
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;1
Female;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;notAdult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;notAdult;White;0;0;0;high;F3;Medium;Low;1
Male;adult;White;0;0;0;low;F3;High;High;0
Male;adult;White;0;0;0;low;F3;High;High;0
Female;notAdult;notWhite;0;0;0;low;F1;Low;Low;0
Male;adult;notWhite;0;0;1;low;F3;Medium;Low;0
Male;adult;notWhite;0;0;1;high;F2;Medium;Medium;1
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;1
Male;adult;notWhite;0;0;0;zero;F3;Medium;Low;0
Male;adult;White;0;0;0;low;F3;High;Low;0
Male;adult;notWhite;0;0;0;zero;M1;Medium;Low;0
Male;notAdult;notWhite;0;0;0;low;M1;Low;Low;0
Male;notAdult;White;0;0;0;high;F3;Medium;Low;0
Female;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;M1;Medium;Medium;1
Male;adult;notWhite;0;0;0;low;F2;Low;Low;0
Male;adult;notWhite;1;1;2;high;F3;High;High;1
Male;adult;White;0;0;0;low;M1;Low;Low;1
Male;notAdult;White;3;1;0;high;F3;Medium;Low;0
Male;notAdult;White;3;1;0;high;F3;Medium;Low;0
Male;notAdult;notWhite;0;0;1;low;F3;Low;Medium;1
Female;adult;White;0;0;0;zero;M1;Low;Low;0
Male;notAdult;notWhite;0;1;2;low;F3;High;High;0
Male;notAdult;notWhite;0;1;2;low;F3;High;High;1
Male;adult;notWhite;0;0;0;low;F3;High;Medium;0
Male;adult;notWhite;0;0;0;low;F3;High;Medium;1
Male;notAdult;notWhite;0;0;0;zero;M2;Low;Low;0
Male;adult;notWhite;0;1;0;high;F2;Medium;Low;1
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Female;notAdult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;Low;Low;1
Male;notAdult;notWhite;0;0;0;low;F3;Low;Medium;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;0
Male;notAdult;notWhite;0;1;0;low;M1;Medium;Low;0
Male;adult;notWhite;0;0;0;high;F3;Medium;Low;1
Male;adult;White;0;0;1;low;F3;Medium;Low;0
Male;adult;White;0;0;1;low;F3;Medium;Low;1
Female;notAdult;notWhite;0;0;0;low;M2;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M1;Low;Low;1
Male;notAdult;White;0;0;0;zero;F3;High;Medium;0
Male;notAdult;White;0;0;0;zero;F3;High;Medium;0
Male;notAdult;White;0;0;0;zero;F3;High;Medium;0
Male;notAdult;White;0;0;0;zero;F3;High;Medium;0
Male;notAdult;White;0;0;0;zero;F3;High;Medium;0
Female;adult;notWhite;0;0;0;low;F2;Low;Low;1
Male;adult;White;0;0;0;low;F7;Medium;High;1
Female;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;White;0;0;0;low;M1;Low;Low;0
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;M2;Low;Low;0
Male;notAdult;White;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;high;M1;High;High;1
Male;notAdult;notWhite;0;0;0;zero;MO3;High;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Medium;Low;0
Male;notAdult;White;0;0;0;low;F3;Medium;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;1
Male;adult;notWhite;1;6;1;high;F2;High;High;1
Male;notAdult;notWhite;0;0;0;zero;F3;Medium;High;1
Male;notAdult;notWhite;1;0;0;low;F3;High;High;1
Male;notAdult;notWhite;0;0;1;low;M2;Medium;High;0
Male;notAdult;notWhite;0;0;1;low;M2;Medium;High;1
Male;notAdult;notWhite;0;0;0;high;F1;Medium;Medium;0
Male;notAdult;notWhite;0;0;0;high;F1;Medium;Medium;0
Male;adult;White;0;0;0;low;F3;Medium;Low;0
Male;adult;White;0;0;0;low;F3;Medium;Low;0
Male;adult;notWhite;0;0;0;high;F2;Medium;Medium;0
Male;adult;notWhite;0;0;0;high;F2;Medium;Medium;0
Female;adult;notWhite;0;0;0;low;M2;Low;Low;0
Male;adult;notWhite;0;0;0;high;F2;Medium;Medium;1
Male;adult;White;0;0;0;high;F3;High;Low;1
Male;notAdult;notWhite;0;0;0;low;F3;Medium;Medium;1
Male;adult;White;0;0;1;high;F3;Medium;Low;0
Male;adult;White;0;0;0;high;F3;High;High;1
Male;notAdult;notWhite;0;0;0;high;M1;Medium;Low;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;0
Female;notAdult;White;0;0;0;zero;F3;Medium;High;0
Male;adult;White;0;0;0;low;F3;Low;Low;1
Male;notAdult;White;0;0;0;low;F2;Low;Low;0
Female;notAdult;White;0;0;0;zero;M1;Low;Low;0
Female;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M2;Low;Medium;1
Male;notAdult;notWhite;0;0;0;low;F2;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F2;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;zero;F3;Low;Low;1
Female;adult;notWhite;0;0;0;high;M1;Low;Low;0
Male;notAdult;White;0;1;2;high;F3;Medium;Medium;1
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;zero;M1;Medium;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;High;Low;1
Male;adult;White;0;0;0;high;F3;Medium;Low;0
Male;adult;White;0;0;0;high;F3;Medium;Low;0
Female;notAdult;notWhite;0;0;0;zero;F2;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;1;0;1;low;F3;High;Medium;0
Male;notAdult;notWhite;1;0;1;low;F3;High;Medium;0
Male;notAdult;notWhite;1;0;1;low;F3;High;Medium;0
Male;notAdult;notWhite;1;0;1;low;F3;High;Medium;0
Male;notAdult;notWhite;1;0;1;low;F3;High;Medium;0
Male;notAdult;notWhite;1;0;1;low;F3;High;Medium;0
Female;notAdult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;High;Medium;1
Male;adult;notWhite;0;0;0;zero;F3;Medium;Low;0
Male;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;High;Medium;0
Male;adult;White;0;0;0;high;M1;Low;Low;1
Male;adult;notWhite;0;0;0;low;F3;High;Low;0
Male;adult;notWhite;0;0;0;low;F3;High;Low;0
Male;adult;White;0;0;0;zero;F3;Medium;Medium;0
Male;adult;White;0;0;0;zero;F3;Medium;Medium;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;Medium;Low;1
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;1
Male;adult;notWhite;0;1;0;high;F3;High;Medium;1
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Medium;1
Male;adult;notWhite;0;12;2;high;F3;High;Medium;1
Male;adult;White;0;0;0;zero;M2;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Medium;High;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;0
Female;adult;notWhite;0;0;0;low;F3;Low;Low;0
Female;adult;notWhite;0;0;0;low;F3;Low;Low;0
Female;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;White;0;0;0;high;F3;High;Medium;1
Male;adult;notWhite;0;0;0;low;F3;High;Low;1
Female;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;High;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;High;Low;0
Male;adult;notWhite;0;0;0;low;MO3;High;High;0
Male;adult;notWhite;0;0;0;low;MO3;High;High;0
Male;adult;notWhite;0;0;0;low;MO3;High;High;0
Male;notAdult;White;0;0;0;low;M1;High;Medium;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;1
Male;notAdult;White;0;0;0;zero;F3;Low;Low;0
Female;notAdult;White;0;0;0;low;M1;Low;Low;0
Male;notAdult;White;0;0;0;low;F3;Medium;High;0
Male;notAdult;White;0;0;0;low;F3;Medium;High;1
Male;adult;White;0;0;0;high;F3;Low;Low;0
Male;adult;White;0;0;0;high;F3;Low;Low;0
Male;adult;White;0;0;0;high;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Low;Medium;0
Female;adult;White;0;0;0;low;F3;Low;Medium;0
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;low;M2;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;0
Female;adult;notWhite;0;0;0;low;M2;Low;Low;0
Male;notAdult;White;0;0;0;low;F3;Medium;Medium;0
Male;adult;White;0;0;0;zero;M2;Low;Low;0
Male;adult;White;0;0;0;zero;M2;Low;Low;1
Female;notAdult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F2;High;High;0
Male;notAdult;notWhite;0;0;0;zero;F2;High;High;0
Female;adult;White;0;1;0;high;F3;Low;Low;0
Female;adult;White;0;1;0;high;F3;Low;Low;1
Female;adult;White;0;0;0;zero;F3;Low;Low;0
Female;adult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;low;M1;Low;Low;1
Female;adult;notWhite;0;0;0;low;F3;Medium;Medium;1
Male;adult;notWhite;0;0;0;low;F3;Medium;Low;0
Male;adult;notWhite;0;0;0;low;F3;Medium;Low;1
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;0
Male;adult;White;0;0;0;low;M1;Low;Low;1
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;0;low;M2;Low;Low;1
Male;notAdult;White;0;0;0;low;F3;Low;Low;1
Male;adult;notWhite;0;0;0;high;F2;High;High;0
Female;notAdult;White;0;0;0;low;F3;Low;Low;0
Male;notAdult;White;0;0;0;zero;M1;Low;Low;0
Female;notAdult;notWhite;1;0;0;low;F3;High;High;0
Female;notAdult;notWhite;1;0;0;low;F3;High;High;0
Female;notAdult;notWhite;1;0;0;low;F3;High;High;0
Male;adult;notWhite;0;0;0;low;F2;Low;Low;0
Female;adult;White;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;1;1;0;high;F3;High;Low;1
Male;adult;notWhite;0;0;0;high;F3;Medium;Medium;1
Male;adult;notWhite;0;0;0;high;M2;Medium;Low;1
Male;notAdult;notWhite;0;0;0;low;MO3;High;Low;0
Male;notAdult;notWhite;0;0;0;low;MO3;High;Low;0
Male;notAdult;notWhite;0;0;0;low;MO3;High;Low;0
Female;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Female;adult;notWhite;0;0;0;zero;F3;Low;Low;1
Female;adult;notWhite;0;0;0;high;F3;High;High;1
Male;adult;notWhite;0;0;0;low;F3;High;High;0
Male;adult;notWhite;0;0;0;low;F3;High;High;1
Male;notAdult;notWhite;0;0;0;zero;M2;Low;Low;0
Female;notAdult;notWhite;0;0;0;zero;F3;Medium;High;0
Female;adult;White;0;0;0;zero;M2;Medium;Low;0
Male;adult;notWhite;0;0;0;low;M1;High;High;0
Female;notAdult;notWhite;0;0;0;low;F3;Low;Low;1
Male;notAdult;notWhite;0;0;0;high;F3;Medium;Medium;0
Male;notAdult;notWhite;0;0;0;high;F3;Medium;Medium;1
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Female;adult;notWhite;0;0;0;low;F3;High;High;1
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Female;notAdult;notWhite;0;0;0;low;F1;Low;Low;0
Female;adult;notWhite;0;0;0;low;M1;Low;Low;1
Male;notAdult;notWhite;0;0;0;low;M1;Low;Low;0
Male;adult;White;1;0;0;low;X;Low;Low;0
Female;adult;White;0;0;0;low;F3;Medium;Low;1
Male;adult;notWhite;0;0;0;low;F7;Medium;High;0
Male;adult;notWhite;0;0;0;low;F7;Medium;High;0
Male;notAdult;White;0;0;0;low;M1;Low;Low;0
Male;adult;White;0;0;0;zero;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;White;0;0;0;high;F3;Low;Low;1
Male;adult;White;0;0;0;high;F3;High;Low;0
Female;notAdult;White;0;0;0;high;F3;Medium;Low;0
Male;adult;White;0;0;0;zero;F3;Medium;Low;0
Male;adult;White;0;0;0;zero;F3;Medium;Low;0
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;1
Male;adult;notWhite;0;0;0;low;F7;Low;Low;0
Female;notAdult;notWhite;0;0;0;zero;M1;Medium;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Medium;0
Female;adult;notWhite;0;0;0;high;F3;Medium;Low;0
Male;notAdult;notWhite;0;0;0;low;M2;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M2;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Medium;Low;0
Male;adult;notWhite;0;0;0;low;M1;Medium;Low;0
Female;adult;White;0;0;0;high;F3;High;Low;0
Female;adult;White;0;0;0;high;F3;High;Low;0
Male;notAdult;White;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;0
Male;adult;notWhite;0;0;0;high;F3;High;Medium;1
Male;adult;notWhite;0;0;0;high;M1;Medium;Medium;1
Male;notAdult;notWhite;0;0;0;low;F2;Low;Low;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;notAdult;White;0;0;0;low;M1;Low;Low;1
Male;notAdult;White;0;0;0;zero;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M1;High;High;0
Male;notAdult;notWhite;0;0;0;zero;F2;Low;Low;0
Male;adult;notWhite;2;2;1;high;F3;High;Medium;1
Male;adult;notWhite;0;0;0;low;MO3;Medium;Low;0
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Medium;Medium;1
Male;notAdult;notWhite;0;0;0;high;M1;High;Low;1
Male;notAdult;notWhite;0;0;0;zero;M1;Low;Low;1
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;low;F3;Medium;Low;1
Male;notAdult;notWhite;0;0;0;low;F2;Low;Low;1
Male;notAdult;White;0;0;0;high;M1;Low;Low;0
Male;notAdult;White;0;0;0;high;M1;Low;Low;1
Female;adult;White;0;0;0;zero;M1;Medium;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;high;F2;High;Medium;1
Male;adult;notWhite;0;0;0;low;M1;High;High;1
Male;adult;White;0;0;0;zero;F3;Low;Low;1
Male;adult;notWhite;0;0;0;high;F2;High;High;1
Male;adult;notWhite;0;0;0;low;F3;High;High;0
Male;notAdult;White;0;0;0;low;F3;Low;Low;0
Female;notAdult;White;0;0;0;high;F3;High;Low;0
Female;notAdult;White;0;0;0;high;F3;High;Low;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;1
Male;adult;notWhite;0;0;0;low;M1;Low;Low;1
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Female;notAdult;notWhite;0;0;0;low;M1;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;1
Male;notAdult;White;0;0;0;low;F3;Low;Low;0
Male;notAdult;White;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;zero;M2;Low;Low;0
Male;adult;White;0;0;0;low;M1;Low;Low;0
Female;adult;notWhite;0;1;0;high;F3;High;High;1
Male;adult;White;0;0;0;low;F1;Low;Low;0
Male;notAdult;notWhite;0;0;0;high;F3;Medium;Low;1
Male;adult;notWhite;0;0;0;low;F1;Low;Low;0
Male;adult;notWhite;0;0;0;low;F1;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;High;High;1
Male;adult;notWhite;0;0;0;low;F3;Medium;Low;0
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Female;adult;White;0;0;0;low;M1;Low;Low;0
Female;adult;notWhite;0;0;0;zero;F2;High;Medium;0
Male;adult;White;0;0;0;high;F3;Medium;Low;1
Female;adult;White;0;0;0;high;F3;High;Medium;1
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;White;0;0;0;low;M2;Low;Low;0
Female;adult;notWhite;0;0;0;low;F1;High;Medium;0
Female;adult;notWhite;0;0;0;low;F1;High;Medium;0
Male;notAdult;notWhite;1;0;0;low;F3;Medium;High;0
Male;notAdult;notWhite;1;0;0;low;F3;Medium;High;0
Male;notAdult;notWhite;1;0;0;low;F3;Medium;High;0
Male;notAdult;White;0;0;0;high;F3;Low;Low;1
Male;adult;notWhite;0;0;0;high;F3;High;Low;0
Male;adult;notWhite;0;0;0;low;M1;Medium;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Medium;Low;0
Male;notAdult;notWhite;0;0;0;low;F3;Medium;Low;0
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Female;notAdult;notWhite;0;0;0;low;F3;Low;Low;0
Male;notAdult;White;0;0;0;low;F3;Low;Low;0
Female;notAdult;White;0;0;0;zero;M1;Low;Low;1
Male;notAdult;White;0;0;0;zero;M1;Low;Low;0
Male;notAdult;White;0;0;1;zero;F3;Low;Medium;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;0
Male;adult;notWhite;0;0;0;low;M1;Low;Low;1
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;1
Female;adult;notWhite;0;0;0;low;F3;Medium;Low;0
Female;adult;notWhite;0;0;0;high;M1;Medium;Low;0
Male;adult;notWhite;0;0;0;high;F2;High;High;1
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;1
Male;adult;notWhite;0;0;0;low;F3;Low;Low;1
Male;notAdult;notWhite;0;0;0;high;F3;High;High;0
Male;notAdult;notWhite;0;0;0;low;F1;High;Medium;0
Male;notAdult;notWhite;0;0;0;zero;F3;Medium;Medium;0
Female;adult;notWhite;0;0;0;low;F7;Low;Medium;1
Female;notAdult;notWhite;0;2;0;low;F3;Medium;Medium;0
Female;notAdult;notWhite;0;2;0;low;F3;Medium;Medium;0
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;notAdult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;high;F3;Low;Low;1
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;2;high;M1;High;Low;1
Male;adult;White;0;0;0;low;F3;Medium;Low;0
Male;notAdult;White;0;0;0;low;F2;Low;Low;0
Female;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Medium;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;White;0;0;0;zero;F2;High;Medium;1
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;adult;White;0;0;0;zero;F3;Low;Low;1
Male;adult;notWhite;0;1;0;high;F2;High;High;0
Male;adult;notWhite;0;1;0;low;M1;High;Medium;0
Male;adult;notWhite;0;1;0;low;M1;High;Medium;0
Male;adult;notWhite;0;1;0;low;M1;High;Medium;0
Male;notAdult;White;0;0;0;low;M1;Low;Low;0
Male;adult;notWhite;0;0;0;high;F3;High;High;0
Male;adult;notWhite;0;0;0;high;F3;High;High;1
Male;adult;White;0;0;0;high;M1;Medium;Low;1
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Female;adult;notWhite;0;0;0;zero;M1;Low;Low;0
